sample
ABY10_2
ABY1_2
ABY2
ABY3
ABY4
ABY6_2
ABY7_2
ABY8A
ABY8B
ABY9_2
Sf1
Sf10A
Sf10B
Sf2A
Sf2B
Sf2C
Sf3
Sf4A
Sf4B
Sf7
Sf8
StBarth1
StBarth2
StBarth3
StBarth4
StC1
StC10
StC11
StC3_2
StC5
StC6
StC7_2
StC8
StC9A
StC9_2
StMar2
StMar4
TB1A
TB1B
TB1C
TB1D
TB2
TB4A
TB4A_2
TB4B
TB4B_2
TB4C
TB4D
