sample	unit	platform	fq1	fq2
3767	L2	BGI	raw/3767_L2_R1.fastq.gz	raw/3767_L2_R2.fastq.gz
3768	L1	BGI	raw/3768_L1_R1.fastq.gz	raw/3768_L1_R2.fastq.gz
3768	L2	BGI	raw/3768_L2_R1.fastq.gz	raw/3768_L2_R2.fastq.gz
4018	L1	BGI	raw/4018_L1_R1.fastq.gz	raw/4018_L1_R2.fastq.gz
4018	L2	BGI	raw/4018_L2_R1.fastq.gz	raw/4018_L2_R2.fastq.gz
4379	L1	BGI	raw/4379_L1_R1.fastq.gz	raw/4379_L1_R2.fastq.gz
4379	L2	BGI	raw/4379_L2_R1.fastq.gz	raw/4379_L2_R2.fastq.gz
4381	L1	BGI	raw/4381_L1_R1.fastq.gz	raw/4381_L1_R2.fastq.gz
4381	L2	BGI	raw/4381_L2_R1.fastq.gz	raw/4381_L2_R2.fastq.gz
4393	L1	BGI	raw/4393_L1_R1.fastq.gz	raw/4393_L1_R2.fastq.gz
4393	L2	BGI	raw/4393_L2_R1.fastq.gz	raw/4393_L2_R2.fastq.gz
4393	L3	BGI	raw/4393_L3_R1.fastq.gz	raw/4393_L3_R2.fastq.gz
4393	L4	BGI	raw/4393_L4_R1.fastq.gz	raw/4393_L4_R2.fastq.gz
4394	L1	BGI	raw/4394_L1_R1.fastq.gz	raw/4394_L1_R2.fastq.gz
4394	L2	BGI	raw/4394_L2_R1.fastq.gz	raw/4394_L2_R2.fastq.gz
4394	L3	BGI	raw/4394_L3_R1.fastq.gz	raw/4394_L3_R2.fastq.gz
4394	L4	BGI	raw/4394_L4_R1.fastq.gz	raw/4394_L4_R2.fastq.gz
4396	L1	BGI	raw/4396_L1_R1.fastq.gz	raw/4396_L1_R2.fastq.gz
4396	L2	BGI	raw/4396_L2_R1.fastq.gz	raw/4396_L2_R2.fastq.gz
4396	L3	BGI	raw/4396_L3_R1.fastq.gz	raw/4396_L3_R2.fastq.gz
4396	L4	BGI	raw/4396_L4_R1.fastq.gz	raw/4396_L4_R2.fastq.gz
4764	L5	BGI	raw/4764_L5_R1.fastq.gz	raw/4764_L5_R2.fastq.gz
4764	L6	BGI	raw/4764_L6_R1.fastq.gz	raw/4764_L6_R2.fastq.gz
52776	L1	BGI	raw/52776_L1_R1.fastq.gz	raw/52776_L1_R2.fastq.gz
52776	L2	BGI	raw/52776_L2_R1.fastq.gz	raw/52776_L2_R2.fastq.gz
52777	L5	BGI	raw/52777_L5_R1.fastq.gz	raw/52777_L5_R2.fastq.gz
52777	L6	BGI	raw/52777_L6_R1.fastq.gz	raw/52777_L6_R2.fastq.gz
5411	L1	BGI	raw/5411_L1_R1.fastq.gz	raw/5411_L1_R2.fastq.gz
5411	L2	BGI	raw/5411_L2_R1.fastq.gz	raw/5411_L2_R2.fastq.gz
7014	L1	BGI	raw/7014_L1_R1.fastq.gz	raw/7014_L1_R2.fastq.gz
